exclusion_class,customer_id,business_id,phone,name,customer_created_at,conversation_count,message_count,turn_count,first_conversation_at,last_message_at,eval_trace_count,twilio_message_sid_count,review_context,review_decision
synthetic_eval,6c273275-ec62-42de-935d-87998e2859ed,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+5216671518408,Juan,2025-11-23 14:54:16.423539-07,1,110260,110260,2025-11-23 15:26:52.046136-07,2026-05-13 22:23:49.935-07,7,281,"",keep_eval_archive
synthetic_eval,96050c52-6278-42ff-b3be-1bd606e8bf35,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164686660035,V2 Synthetic Eval smoke-no-keywords,2026-05-06 18:14:28.676077-07,1,2,2,2026-05-06 18:14:28.693776-07,2026-05-06 18:14:32.835-07,0,0,"",keep_eval_archive
synthetic_eval,30cb716a-dacd-4a6b-991f-ace5d38a6c31,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164638990034,V2 Synthetic Eval smoke-no-keywords,2026-05-06 18:14:23.91159-07,1,2,2,2026-05-06 18:14:23.931055-07,2026-05-06 18:14:28.445-07,0,0,"",keep_eval_archive
synthetic_eval,baa8d3ec-8b6b-459b-b2e9-3a33eeaba037,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164591320033,V2 Synthetic Eval smoke-no-keywords,2026-05-06 18:14:19.151479-07,1,2,2,2026-05-06 18:14:19.173794-07,2026-05-06 18:14:23.212-07,0,0,"",keep_eval_archive
synthetic_eval,3048b81a-bcca-4025-a091-72eb3f61bc9f,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164551220032,V2 Synthetic Eval smoke-no-keywords,2026-05-06 18:14:15.136901-07,1,2,2,2026-05-06 18:14:15.160403-07,2026-05-06 18:14:18.932-07,0,0,"",keep_eval_archive
synthetic_eval,c8c9fbb8-beb9-4df7-9b8c-169d0f4facda,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164509320031,V2 Synthetic Eval smoke-no-keywords,2026-05-06 18:14:10.944871-07,1,2,2,2026-05-06 18:14:10.991999-07,2026-05-06 18:14:14.842-07,0,0,"",keep_eval_archive
synthetic_eval,420f7c87-7b82-4e5e-ab0f-2bc7f85a21a0,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555162151840065,V2 Synthetic Eval smoke-v2-fix3b,2026-05-06 18:10:15.198779-07,1,32,32,2026-05-06 18:10:15.244879-07,2026-05-06 18:10:36.045-07,0,0,"",keep_eval_archive
synthetic_eval,16ab7195-cb72-4260-bd84-c75e21fa7582,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161766440064,V2 Synthetic Eval smoke-v2-fix3b,2026-05-06 18:09:36.658134-07,1,32,32,2026-05-06 18:09:36.678023-07,2026-05-06 18:10:14.705-07,0,0,"",keep_eval_archive
synthetic_eval,1b0611d1-e6e3-4836-b48e-1123d1d586c4,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161927140068,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:09:52.724287-07,1,15,15,2026-05-06 18:09:52.748798-07,2026-05-06 18:10:04.272-07,0,0,"",keep_eval_archive
synthetic_eval,c44d22da-926d-4ae0-be1f-66cf94755001,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161698720067,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:09:29.882893-07,1,32,32,2026-05-06 18:09:29.90245-07,2026-05-06 18:09:52.524-07,0,0,"",keep_eval_archive
synthetic_eval,61457627-b432-4919-8701-3e72a8afb857,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161602070063,V2 Synthetic Eval smoke-v2-fix3b,2026-05-06 18:09:20.21898-07,1,32,32,2026-05-06 18:09:20.242832-07,2026-05-06 18:09:36.459-07,0,0,"",keep_eval_archive
synthetic_eval,b60cfb55-dc55-426e-98d8-6553f5100ac5,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161518460066,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:09:11.859579-07,1,32,32,2026-05-06 18:09:11.881557-07,2026-05-06 18:09:29.703-07,0,0,"",keep_eval_archive
synthetic_eval,1d0105c8-292b-45c7-b933-1d49e2af6952,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161395160062,V2 Synthetic Eval smoke-v2-fix3b,2026-05-06 18:08:59.53286-07,1,32,32,2026-05-06 18:08:59.560198-07,2026-05-06 18:09:19.994-07,0,0,"",keep_eval_archive
synthetic_eval,580b0ca9-270f-48c4-bcd8-cba845bd53f3,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161343550065,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:08:54.369544-07,1,32,32,2026-05-06 18:08:54.39261-07,2026-05-06 18:09:11.631-07,0,0,"",keep_eval_archive
synthetic_eval,f1e57d54-80e3-4e7d-b091-7703f6608802,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161224810061,V2 Synthetic Eval smoke-v2-fix3b,2026-05-06 18:08:42.507593-07,1,32,32,2026-05-06 18:08:42.53239-07,2026-05-06 18:08:59.283-07,0,0,"",keep_eval_archive
synthetic_eval,8231d22e-1bb1-4b83-a6e6-a943634b76f8,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161340790069,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:08:54.093236-07,1,6,6,2026-05-06 18:08:54.123475-07,2026-05-06 18:08:59.194-07,0,0,"",keep_eval_archive
synthetic_eval,1c7d05cc-7704-4a77-b966-2a3440426d66,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161150400064,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:08:35.051141-07,1,32,32,2026-05-06 18:08:35.073436-07,2026-05-06 18:08:54.109-07,0,0,"",keep_eval_archive
synthetic_eval,2628132d-d6f6-4841-a2f7-d602e3224f30,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161157950068,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:08:35.807064-07,1,32,32,2026-05-06 18:08:35.828139-07,2026-05-06 18:08:53.874-07,0,0,"",keep_eval_archive
synthetic_eval,c132ec6f-925a-4def-bcbc-a965189e9cbe,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160983220067,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:08:18.334825-07,1,32,32,2026-05-06 18:08:18.359191-07,2026-05-06 18:08:35.548-07,0,0,"",keep_eval_archive
synthetic_eval,2eff2be5-55c1-4e35-8b64-3cfaadadf9af,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160960630063,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:08:16.076298-07,1,32,32,2026-05-06 18:08:16.102722-07,2026-05-06 18:08:34.84-07,0,0,"",keep_eval_archive
synthetic_eval,f990dad8-9851-4e47-9219-19d07ee657a7,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160794530066,V2 Synthetic Eval smoke-v2-fix3,2026-05-06 18:07:59.465717-07,1,32,32,2026-05-06 18:07:59.485001-07,2026-05-06 18:08:18.119-07,0,0,"",keep_eval_archive
